IR_value,BPM,AvgBPM
130684,11.35,76
0,35.25,65
130226,35.25,65
130389,73.17,66
130601,73.17,66
130686,73.17,66
130653,18.38,66
0,63.76,61
129985,76.82,61
129630,76.82,61
0,20.39,58
262143,20.39,58
129126,41.61,50
0,47.58,46
129486,50.8,39
129759,50.8,39
0,74.91,49
129877,83.22,58
129894,78.84,65
0,176.47,105
129473,176.47,105
129022,176.47,105
0,14.69,105
129274,157.89,125
479,157.89,125
0,157.89,125
9350,157.89,125
10196,157.89,125
0,157.89,125
13187,157.89,125
14740,157.89,125
16526,157.89,125
17349,157.89,125
0,157.89,125
0,157.89,125
20219,157.89,125
20500,157.89,125
21410,157.89,125
0,157.89,125
23591,157.89,125
24050,157.89,125
0,157.89,125
0,157.89,125
25883,157.89,125
25952,157.89,125
26268,157.89,125
0,157.89,125
27024,157.89,125
27985,157.89,125
28193,157.89,125
0,157.89,125
72855,157.89,125
60037,157.89,125
73587,157.89,125
78052,157.89,125
0,157.89,125
69684,157.89,125
68660,157.89,125
70284,157.89,125
44004,157.89,125
74475,157.89,125
0,157.89,125
0,157.89,125
68455,157.89,125
60372,157.89,125
60158,157.89,125
60214,157.89,125
0,157.89,125
60446,157.89,125
56682,157.89,125
0,157.89,125
40188,157.89,125
39448,157.89,125
37442,157.89,125
37234,157.89,125
37171,157.89,125
37194,157.89,125
37404,157.89,125
37291,157.89,125
37376,157.89,125
37314,0.95,125
0,0.95,125
0,22.88,109
37625,36.99,74
37572,83.22,74
39616,83.22,74
49470,83.22,74
49022,83.22,74
57261,83.22,74
44963,83.22,74
45017,83.22,74
0,83.22,74
44925,7.04,74
44925,40.49,45
45056,61.16,55
44926,61.16,55
0,20.53,51
45030,142.52,65
0,81.08,76
45325,48.27,72
45001,51.72,80
48148,49.14,57
50063,85.59,58
40819,85.59,58
40857,21.57,51
40810,124.74,69
0,39.45,67
0,54.45,59
40972,49.14,66
41316,38.44,45
41456,52.54,48
41793,52.54,48
40988,52.54,48
41123,200.0,77
0,115.38,97
41164,93.75,114
40915,93.75,114
56493,39.42,73
40295,83.1,65
0,83.1,65
0,83.1,65
38676,83.1,65
38787,83.1,65
38747,9.73,65
45806,124.74,114
40249,124.74,114
40054,124.74,114
38978,24.17,99
38227,24.17,99
38671,24.17,99
39148,24.17,99
39517,24.17,99
39518,24.17,99
39610,9.61,99
39616,49.14,90
39615,49.14,90
39507,32.22,57
39579,78.84,45
40071,78.84,45
39540,28.28,46
39483,45.42,45
38827,49.96,50
35522,49.96,50
36791,49.96,50
11798,49.96,50
10585,49.96,50
10642,49.96,50
10630,49.96,50
10626,49.96,50
10630,49.96,50
10474,49.96,50
0,5.95,50
0,5.95,50
11121,5.95,50
11067,14.48,50
11569,100.0,76
10853,100.0,76
10769,100.0,76
10763,100.0,76
10761,100.0,76
10766,100.0,76
10757,100.0,76
10794,7.76,76
10798,7.76,76
10745,7.76,76
10778,7.76,76
10784,7.76,76
10861,7.76,76
0,10.23,76
0,54.5,78
10794,54.5,78
10794,54.5,78
10790,54.5,78
10802,54.5,78
10785,54.5,78
10774,54.5,78
10798,54.5,78
10793,54.5,78
10789,54.5,78
10779,54.5,78
10788,54.5,78
10783,54.5,78
10770,54.5,78
10783,54.5,78
10784,54.5,78
10777,54.5,78
10789,54.5,78
10779,54.5,78
10782,54.5,78
0,54.5,78
0,54.5,78
10803,54.5,78
10790,54.5,78
10802,54.5,78
10787,54.5,78
10789,54.5,78
10791,54.5,78
10784,54.5,78
10780,54.5,78
10778,54.5,78
0,54.5,78
0,54.5,78
10808,1.64,78
10801,1.64,78
10794,1.64,78
10791,1.64,78
0,1.64,78
10808,1.64,78
0,1.64,78
10814,7.57,78
10805,7.57,78
10804,7.57,78
10813,7.57,78
10804,7.57,78
10800,7.57,78
10820,7.57,78
10812,7.57,78
10810,7.57,78
10817,7.57,78
10820,7.57,78
10824,7.57,78
10809,7.57,78
10816,7.57,78
10816,7.57,78
10813,7.57,78
10803,7.57,78
10819,7.57,78
10817,7.57,78
10818,7.57,78
10812,7.57,78
10823,7.57,78
10821,7.57,78
10814,7.57,78
10821,7.57,78
10821,7.57,78
10822,7.57,78
10822,7.57,78
10829,7.57,78
10812,7.57,78
10819,7.57,78
10826,7.57,78
10824,7.57,78
10822,7.57,78
10815,7.57,78
10822,7.57,78
10821,7.57,78
10811,7.57,78
10815,7.57,78
10818,7.57,78
10824,7.57,78
10827,7.57,78
10824,7.57,78
10823,7.57,78
10814,7.57,78
10819,7.57,78
10806,7.57,78
10819,7.57,78
10821,7.57,78
10815,7.57,78
10817,7.57,78
10828,7.57,78
10821,7.57,78
10815,7.57,78
10823,7.57,78
10827,7.57,78
10829,7.57,78
10831,7.57,78
10825,7.57,78
10830,7.57,78
10824,0.92,78
10819,0.92,78
10809,0.92,78
10813,0.92,78
10806,0.92,78
10794,0.92,78
10806,0.92,78
10827,0.92,78
10297,0.92,78
10333,6.32,78
10348,6.32,78
10355,6.32,78
10349,6.32,78
10348,6.32,78
10351,6.32,78
10349,6.32,78
10347,6.32,78
10199,6.32,78
10198,5.88,78
10120,5.88,78
10120,27.25,72
10325,57.64,59
11298,57.64,59
11291,57.64,59
11301,18.17,59
11298,54.5,48
11287,54.5,48
11283,54.5,48
11285,54.5,48
11281,54.5,48
11274,54.5,48
11281,54.5,48
10677,54.5,48
10644,54.5,48
10651,6.18,48
10741,6.18,48
10677,6.18,48
10665,18.17,48
10655,18.17,48
10665,18.17,48
10657,18.17,48
10692,18.17,48
10697,18.17,48
10746,9.4,48
10674,9.4,48
10725,27.0,41
10665,27.0,41
10666,26.76,41
10670,26.76,41
10424,26.76,41
1718,26.76,41
21863,26.76,41
474,26.76,41
131071,26.76,41
129598,26.76,41
72005,26.76,41
1793,26.76,41
8795,26.76,41
130499,26.76,41
125232,26.76,41
125806,26.76,41
125862,3.81,41
125670,65.15,43
125701,130.43,77
79981,63.76,86
132165,63.76,86
132669,63.76,86
132202,63.76,86
133955,14.84,86
133437,14.84,86
262143,14.84,86
0,14.84,86
131071,14.84,86
126944,14.84,86
262143,8.32,86
262143,111.11,98
0,71.34,81
0,37.95,74
126595,73.08,65
126504,90.77,70
126625,125.0,92
126803,88.11,95
126824,88.11,95
126863,26.06,82
126677,73.08,66
0,83.33,65
126626,93.6,80
126349,76.82,80
0,119.76,90
0,119.76,90
1201,119.76,90
1194,19.09,90
1187,19.09,90
1168,19.09,90
0,19.09,90
0,12.18,90
1231,12.18,90
1216,12.18,90
1209,12.18,90
1208,12.18,90
0,12.18,90
0,12.18,90
1215,12.18,90
1205,12.18,90
1201,12.18,90
1190,12.18,90
0,12.18,90
1201,12.18,90
1205,12.18,90
1196,12.18,90
1190,12.18,90
0,12.18,90
0,12.18,90
1199,12.18,90
1200,12.18,90
1186,12.18,90
1189,12.18,90
1173,12.18,90
0,12.18,90
1197,12.18,90
1201,12.18,90
1198,12.18,90
1199,12.18,90
1183,12.18,90
0,12.18,90
0,12.18,90
1190,1.72,90
1249,1.72,90
1252,30.9,77
1252,30.9,77
1255,30.9,77
0,30.9,77
0,30.9,77
1304,30.9,77
1296,30.9,77
1289,30.9,77
0,30.9,77
1311,30.9,77
1298,30.9,77
1300,30.9,77
1286,30.9,77
0,30.9,77
1304,30.9,77
1298,30.9,77
1292,30.9,77
1288,30.9,77
1299,30.9,77
0,30.9,77
1311,30.9,77
1305,2.53,77
1301,2.53,77
1297,2.53,77
1299,2.53,77
1303,2.53,77
1293,2.53,77
1293,2.53,77
1285,2.53,77
0,2.53,77
0,2.53,77
0,2.53,77
1309,2.53,77
1305,2.53,77
1306,2.53,77
1311,2.53,77
1305,2.53,77
1314,2.53,77
1309,2.53,77
1301,2.53,77
1300,2.53,77
1295,2.53,77
1299,2.53,77
1298,2.53,77
1300,2.53,77
1307,2.53,77
1312,2.53,77
1310,2.53,77
1315,2.53,77
1304,2.53,77
1311,2.53,77
1317,2.53,77
1310,2.53,77
1312,2.53,77
1302,2.53,77
1300,2.53,77
1309,2.53,77
1299,2.53,77
1310,2.53,77
1310,2.53,77
1311,2.53,77
1299,2.53,77
1304,2.53,77
1311,2.53,77
1309,2.53,77
1310,2.53,77
1307,2.53,77
1309,2.53,77
1311,2.53,77
1307,2.53,77
1298,2.53,77
1309,2.53,77
1310,1.09,77
1307,1.09,77
1307,1.09,77
1310,1.09,77
1312,1.09,77
442,1.09,77
133068,9.25,77
135742,9.25,77
136343,22.04,64
135473,22.04,64
136534,37.93,52
262143,37.93,52
262143,37.93,52
140608,37.93,52
139591,37.93,52
262143,37.93,52
262143,37.93,52
262143,7.83,52
0,7.83,52
262143,27.49,29
262143,68.1,38
262143,37.95,42
262143,37.95,42
138796,37.95,42
262143,85.59,52
262143,124.74,74
262143,88.24,91
0,61.1,85
262143,63.76,72
262143,63.76,72
262143,63.76,72
0,20.52,55
262143,90.77,66
262143,93.75,91
262143,62.43,83
0,69.69,78
262143,74.91,69
262143,69.69,71
262143,80.97,74
0,74.91,71
262143,83.22,74
262143,74.91,75
0,81.08,77
262143,90.77,80
262143,76.82,81
