BPM,AvgBPM,IR_value,Accel_X,Accel_Y,Accel_Z,A_total
0.0,0.0,1318,-3.3,-9.73,0.82,10.3
0.0,0.0,1319,-3.26,-9.77,0.82,10.33
0.0,0.0,1318,-3.3,-9.73,0.75,10.3
0.0,0.0,1311,-3.26,-9.73,0.82,10.29
0.0,0.0,1323,-3.26,-9.77,0.78,10.33
0.0,0.0,1324,-3.26,-9.77,0.71,10.32
0.0,0.0,1313,-3.3,-9.73,0.75,10.3
0.0,0.0,1325,-3.26,-9.77,0.78,10.33
0.0,0.0,1305,-3.3,-9.69,0.82,10.27
0.0,0.0,1322,-3.26,-9.73,0.78,10.29
0.0,0.0,1318,-3.3,-9.77,0.82,10.34
0.0,0.0,1325,-3.26,-9.81,0.86,10.37
0.0,0.0,1320,-3.26,-9.73,0.78,10.29
0.0,0.0,1319,-3.3,-9.77,0.75,10.34
0.0,0.0,1320,-3.3,-9.77,0.78,10.34
0.0,0.0,1318,-3.33,-9.73,0.78,10.31
0.0,0.0,1290,-3.26,-9.73,0.82,10.29
0.0,0.0,1315,-3.33,-9.73,0.78,10.31
0.0,0.0,1325,-3.3,-9.73,0.78,10.3
0.0,0.0,1339,-3.26,-9.77,0.78,10.33
0.0,0.0,1312,-3.3,-9.73,0.86,10.31
0.0,0.0,1323,-3.3,-9.77,0.86,10.34
0.0,0.0,1318,-3.3,-9.73,0.78,10.3
0.0,0.0,1315,-3.26,-9.77,0.82,10.33
0.0,0.0,1341,-3.3,-9.73,0.78,10.3
0.0,0.0,1319,-3.33,-9.73,0.78,10.31
0.0,0.0,1319,-3.26,-9.77,0.86,10.33
0.0,0.0,1336,-3.3,-9.73,0.75,10.3
0.0,0.0,1321,-3.33,-9.73,0.78,10.31
0.0,0.0,1316,-3.3,-9.69,0.75,10.26
0.0,0.0,1322,-3.26,-9.73,0.86,10.29
0.0,0.0,1325,-3.26,-9.77,0.78,10.33
0.0,0.0,1317,-3.3,-9.69,0.78,10.26
0.0,0.0,1327,-3.3,-9.77,0.78,10.34
0.0,0.0,1322,-3.26,-9.81,0.78,10.36
0.0,0.0,1306,-3.26,-9.77,0.78,10.33
0.0,0.0,1329,-3.33,-9.77,0.75,10.35
0.0,0.0,1344,-3.26,-9.77,0.75,10.32
0.0,0.0,1307,-3.3,-9.77,0.82,10.34
0.0,0.0,1324,-3.3,-9.77,0.78,10.34
0.0,0.0,1321,-3.26,-9.77,0.78,10.33
0.0,0.0,1597,-3.53,-9.61,1.1,10.3
0.0,0.0,1590,-3.49,-9.69,1.14,10.36
0.0,0.0,1602,-3.49,-9.65,1.1,10.32
0.0,0.0,1584,-3.57,-9.61,1.14,10.31
0.0,0.0,1607,-3.53,-9.73,1.29,10.43
0.0,0.0,1593,-3.53,-9.65,1.18,10.34
0.0,0.0,1586,-3.57,-9.65,1.14,10.35
0.0,0.0,1589,-3.53,-9.69,1.1,10.37
0.0,0.0,1583,-3.53,-9.69,1.06,10.37
0.0,0.0,1581,-3.53,-9.69,1.14,10.37
0.0,0.0,1591,-3.53,-9.69,1.1,10.37
0.0,0.0,1607,-3.49,-9.73,1.1,10.39
0.0,0.0,1592,-3.53,-9.69,1.1,10.37
0.0,0.0,1617,-3.53,-9.69,1.18,10.38
0.0,0.0,1572,-3.57,-9.65,1.1,10.35
0.0,0.0,1587,-3.53,-9.65,1.14,10.34
0.0,0.0,1595,-3.57,-9.69,1.1,10.38
0.0,0.0,1622,-3.57,-9.65,1.14,10.35
0.0,0.0,1598,-3.57,-9.65,1.1,10.35
0.0,0.0,1597,-3.53,-9.65,1.1,10.33
0.0,0.0,1591,-3.57,-9.69,1.18,10.39
0.0,0.0,1595,-3.53,-9.65,1.18,10.34
0.0,0.0,1588,-3.57,-9.65,1.18,10.36
0.0,0.0,1594,-3.57,-9.69,1.14,10.39
0.0,0.0,1590,-3.57,-9.65,1.22,10.36
0.0,0.0,1592,-3.57,-9.65,1.06,10.34
0.0,0.0,1601,-3.49,-9.69,1.1,10.36
0.0,0.0,1587,-3.57,-9.69,1.1,10.38
0.0,0.0,1613,-3.53,-9.69,1.1,10.37
0.0,0.0,1587,-3.53,-9.65,1.14,10.34
0.0,0.0,1595,-3.53,-9.65,1.14,10.34
0.0,0.0,1595,-3.57,-9.61,1.14,10.31
0.0,0.0,1619,-3.49,-9.73,1.18,10.4
0.0,0.0,1591,-3.53,-9.73,1.1,10.41
